reward,step_time,total_stopped,total_wait_time
0,5,0,0
0,10,0,0
0,15,0,0
0,20,0,3
-3,25,2,21
-18,30,3,59
-38,35,1,122
-63,40,7,202
-80,45,11,296
-94,50,13,412
-116,55,27,544
-132,60,32,695
-151,65,35,863
-168,70,37,1048
-185,75,38,1237
-189,80,38,1427
-190,85,32,1478
-51,90,23,1371
107,95,16,1398
-27,100,14,1472
-74,105,14,1538
-66,110,19,1628
-90,115,26,1749
-121,120,33,1903
-154,125,38,2087
-184,130,38,2277
-190,135,38,2467
-190,140,38,2657
-190,145,32,2621
36,150,24,2339
282,155,16,2328
11,160,13,2397
-69,165,15,2458
-61,170,21,2549
-91,175,26,2670
-121,180,33,2824
-154,185,38,3005
-181,190,32,2917
88,195,22,2538
379,200,17,2512
26,205,13,2585
-73,210,14,2645
-60,215,14,2452
193,220,13,1996
456,225,12,1922
74,230,14,1989
-67,235,12,2049
-60,240,19,2134
-85,245,27,2255
-121,250,33,2405
-150,255,36,2581
-176,260,32,2437
144,265,23,1824
613,270,17,1911
-87,275,15,1985
-74,280,13,2049
-64,285,20,2139
-90,290,28,2264
-125,295,35,2423
-159,300,38,2608
-185,305,32,2433
175,310,23,1976
457,315,15,1355
621,320,7,1390
-35,325,8,1420
-30,330,13,1472
-52,335,19,1556
-84,340,25,1671
-115,345,34,1823
-152,350,32,1763
60,355,26,1463
300,360,17,1555
-92,365,14,1627
-72,370,15,1698
-71,375,22,1797
-99,380,29,1930
-133,385,35,2094
-164,390,38,2282
-188,395,38,2472
-190,400,32,2397
75,405,22,1926
471,410,15,2012
-86,415,13,2084
-72,420,14,2148
-64,425,14,1970
178,430,13,1585
385,435,12,1426
159,440,10,1482
-56,445,12,1534
-52,450,12,1391
143,455,11,1067
324,460,11,1114
-47,465,11,1163
-49,470,16,1230
-67,475,21,1329
-99,480,24,1269
60,485,20,1033
236,490,16,636
397,495,6,673
-37,500,7,700
-27,505,14,755
-55,510,14,683
72,515,13,499
184,520,11,550
-51,525,10,607
-57,530,11,572
35,535,9,445
127,540,8,478
-33,545,8,519
-41,550,16,586
-67,555,21,681
-95,560,22,689
-8,565,20,598
91,570,17,642
-44,575,12,708
-66,580,13,771
-63,585,15,736
35,590,11,591
145,595,10,553
38,600,10,602
-49,605,13,657
-55,610,12,627
30,615,10,430
197,620,7,468
-38,625,8,507
-39,630,6,471
36,635,7,359
112,640,4,303
56,645,7,327
-24,650,13,380
-53,655,14,364
16,660,10,265
99,665,11,258
7,670,11,317
